,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
2370,141958,국어 나,37,교육학,EDUCATION
2371,141959,국어 활동,37,교육학,EDUCATION
2372,148569,국어 가,37,교육학,EDUCATION
2373,148570,국어 나,37,교육학,EDUCATION
2374,148571,국어 활동,37,교육학,EDUCATION
2375,148572,국어 가,37,교육학,EDUCATION
2376,148573,국어 나,37,교육학,EDUCATION
2377,148574,국어 활동,37,교육학,EDUCATION
2378,141960,국어 가,37,교육학,EDUCATION
2379,141961,국어 나,37,교육학,EDUCATION
2380,141962,국어 활동,37,교육학,EDUCATION
2381,106779,국어 가,37,교육학,EDUCATION
2382,106780,국어활동 가,37,교육학,EDUCATION
2383,106781,국어 나,37,교육학,EDUCATION
2384,106782,국어활동 나,37,교육학,EDUCATION
2385,111868,국어 가,37,교육학,EDUCATION
2386,111869,국어 나,37,교육학,EDUCATION
2387,111870,국어활동 가,37,교육학,EDUCATION
2388,111871,국어활동 나,37,교육학,EDUCATION
2389,148568,2학기(2018~2020학년도),37,교육학,EDUCATION
2390,132640,1학기(2014~2017학년도),37,교육학,EDUCATION
2391,132641,2학기(2014~2017학년도),37,교육학,EDUCATION
2392,141956,1학기(2018~2020학년도),37,교육학,EDUCATION
2393,48857,4학년,37,교육학,EDUCATION
2394,48858,5학년,37,교육학,EDUCATION
2395,159963,2학기(2019~2020학년도),37,교육학,EDUCATION
2396,154597,1학기(2019~2020학년도),37,교육학,EDUCATION
2397,132642,1학기(2015~2018학년도),37,교육학,EDUCATION
2398,132643,2학기(2015~2018학년도),37,교육학,EDUCATION
2399,115746,국어 가,37,교육학,EDUCATION
2400,115747,국어 나,37,교육학,EDUCATION
2401,115748,국어활동 가,37,교육학,EDUCATION
2402,115749,국어활동 나,37,교육학,EDUCATION
2403,120676,국어 가,37,교육학,EDUCATION
2404,120677,국어 나,37,교육학,EDUCATION
2405,120678,국어활동 가,37,교육학,EDUCATION
2406,120679,국어활동 나,37,교육학,EDUCATION
2407,159965,국어 가,37,교육학,EDUCATION
