,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
1887,179111,에너지관리,37,교육학,EDUCATION
1889,178978,영업.판매,37,교육학,EDUCATION
1890,178979,용접,37,교육학,EDUCATION
1891,179113,용접/산업기사,37,교육학,EDUCATION
1892,179114,용접기능장,37,교육학,EDUCATION
1893,179115,특수/용접기능사,37,교육학,EDUCATION
1894,179116,용접기술사,37,교육학,EDUCATION
1895,179117,농기계운전기능사,53,기계공학,MECHANICAL_ENGINEERING
1896,179118,철도운송산업기사,37,교육학,EDUCATION
1897,178980,운전.운송,37,교육학,EDUCATION
1898,178981,위험물,37,교육학,EDUCATION
1899,179119,위험물기능사,37,교육학,EDUCATION
1900,179120,위험물기능장,37,교육학,EDUCATION
1901,179121,세탁기능사,37,교육학,EDUCATION
1902,179122,양장기능사,37,교육학,EDUCATION
1903,179123,패션디자인산업기사,60,예술,ARTS
1904,179124,기타 의복,37,교육학,EDUCATION
1905,178982,의복,37,교육학,EDUCATION
1906,178983,이용.미용,37,교육학,EDUCATION
1907,187386,문신사(반영구화장사),37,교육학,EDUCATION
1908,179125,미용사,37,교육학,EDUCATION
1909,179126,이용사,37,교육학,EDUCATION
1910,179127,사진기능사,37,교육학,EDUCATION
1911,178984,인쇄.사진,37,교육학,EDUCATION
1912,178985,임업,37,교육학,EDUCATION
1913,179128,버섯산업/종균,37,교육학,EDUCATION
1914,179129,산림기사,37,교육학,EDUCATION
1915,179130,식물보호기사,37,교육학,EDUCATION
1916,179132,자동차 기타,37,교육학,EDUCATION
1917,179131,자동차정비,37,교육학,EDUCATION
1918,178986,자동차,37,교육학,EDUCATION
1926,183100,반도체장비유지보수기능사,37,교육학,EDUCATION
1928,179138,3D프린터개발,37,교육학,EDUCATION
1929,179139,반도체설계기사,37,교육학,EDUCATION
1932,179142,광학기기산업기사,37,교육학,EDUCATION
1937,178989,정보기술,37,교육학,EDUCATION
1938,179143,사무자동화산업기사,37,교육학,EDUCATION
1940,179145,정보기기운용기능사,37,교육학,EDUCATION
1942,179147,떡제조기능사,37,교육학,EDUCATION
1943,179148,제과/제빵기능사,37,교육학,EDUCATION
1944,178990,제과.제빵,37,교육학,EDUCATION
1945,178991,조경,37,교육학,EDUCATION
1946,179183,조경기능사,37,교육학,EDUCATION
1947,179184,조경/산업기사,37,교육학,EDUCATION
1948,179185,조경기술사,37,교육학,EDUCATION
1949,179149,양식조리기능사,37,교육학,EDUCATION
1950,179150,일식/복어조리기능사,37,교육학,EDUCATION
1951,179151,중식조리기능사,37,교육학,EDUCATION
1952,179152,한식조리기능사,37,교육학,EDUCATION
1953,179153,조주기능사,37,교육학,EDUCATION
1954,178992,조리,37,교육학,EDUCATION
1955,178993,채광,37,교육학,EDUCATION
1956,179154,화약류관리기사,37,교육학,EDUCATION
1957,179155,축산/산업기사,37,교육학,EDUCATION
1958,178994,축산,37,교육학,EDUCATION
1961,179157,도로및공항기술사,37,교육학,EDUCATION
1962,179158,상하수도기술사,37,교육학,EDUCATION
1964,179160,지적기능사/기사/산업기사,37,교육학,EDUCATION
1965,179161,콘크리트/산업기사,37,교육학,EDUCATION
1967,179163,측량기능사,37,교육학,EDUCATION
1969,181859,측량및지형공간정보,37,교육학,EDUCATION
1970,179165,플라스틱창호기능사,37,교육학,EDUCATION
1971,178996,판금.제관.새시,37,교육학,EDUCATION
1972,178997,항공,37,교육학,EDUCATION
1973,179166,항공산업기사,37,교육학,EDUCATION
1974,179167,항공정비기능사,37,교육학,EDUCATION
1975,179168,바이오화학제품제조기사,43,화학,CHEMISTRY
1976,179169,화공기사,37,교육학,EDUCATION
1977,179170,화학분석,43,화학,CHEMISTRY
1978,178998,화공,37,교육학,EDUCATION
1979,178999,환경,37,교육학,EDUCATION
1980,179171,대기관리,37,교육학,EDUCATION
1981,179172,수질관리,37,교육학,EDUCATION
1982,179173,온실가스관리,37,교육학,EDUCATION
1983,179174,환경기능사,37,교육학,EDUCATION
1984,179175,자연생태복원기사,37,교육학,EDUCATION
1985,179176,폐기물처리/산업기사,37,교육학,EDUCATION
